englisch,ˈɛŋlɪʃ,englischer,ˈɛŋlɪʃɐ,englischsten,ˈɛŋlɪʃstn̩,Ableitung.-isch
schottisch,ˈʃɔtɪʃ,schottischer,ˈʃɔtɪʃɐ,schottischsten,ˈʃɔtɪʃstn̩,Ableitung.-isch
irisch,ˈiːʁɪʃ,irischer,ˈiːʁɪʃɐ,irischsten,ˈiːʁɪʃstn̩,Ableitung.-isch
schwedisch,ˈʃveːdɪʃ,schwedischer,ˈʃveːdɪʃɐ,schwedischsten,ˈʃveːdɪʃstn̩,Ableitung.-isch
ungarisch,ˈʊŋɡaʁɪʃ,ungarischer,ˈʊŋɡaʁɪʃɐ,ungarischsten,ˈʊŋɡaʁɪʃstn̩,Ableitung.-isch
polnisch,ˈpɔlnɪʃ,polnischer,ˈpɔlnɪʃɐ,polnischsten,ˈpɔlnɪʃstn̩,Ableitung.-isch
chinesisch,çiˈneːzɪʃ,chinesischer,çiˈneːzɪʃɐ,chinesischsten,çiˈneːzɪʃstn̩,Ableitung.-isch
ausgezeichnet,ˈaʊ̯sɡəˌt͡saɪ̯çnət,-,-,-,-,Ableitung.Konversion
Salzburger,ˈzalt͡sˌbʊʁɡɐ,-,-,-,-,Ableitung.-er
original,oʁiɡiˈnaːl,originaler,oʁiɡiˈnaːlɐ,originalsten,oʁiɡiˈnaːlstn̩,Lehnwort.la
ursprünglich,ˈuːɐ̯ˌʃpʁʏŋlɪç,ursprünglicher,ˈuːɐ̯ˌʃpʁʏŋlɪçɐ,ursprünglichsten,ˈuːɐ̯ˌʃpʁʏŋlɪçstn̩,Ableitung.-lich
weltweit,ˈvɛltvaɪ̯t,-,-,-,-,Komposita.kein
industriell,ɪndʊstʁiˈɛl,-,-,-,-,Lehnwort.fr:Ableitung.-ell
gesund,ɡəˈzʊnt,gesünder/gesunder,ɡəˈzʏndɐ/ɡəˈzʊndɐ,gesündesten/gesundesten,ɡəˈzʏndəstn̩/ɡəˈzʊndəstn̩,*
