Genus,Substantiv,IPA,Plural,Herkunft,Tags
-,-,ˈɛltɐn,Eltern,*,Familie
das,Kind,kɪnt,Kinder,*,Familie
der,Mann,man,Männer:Mannen,*,Familie
der,Roman,ʁoˈmaːn,Romane,*,
die,Liebe,ˈliːbə,Lieben,*,
der,Liebesroman,ˈliːbəsʁoˌmaːn,Liebesromane,*,
die,Tochter,ˈtɔxtɐ,Töchter,*,Familie
die,Schwester,ˈʃvɛstɐ,Schwestern,*,Familie
das,Jahr,jaːɐ̯,Jahre,de,
die,Popmusik,ˈpɔpmuˌziːk,Popmusiken,*,
der,Vater,ˈfaːtɐ,Väter,*,Familie
der,Sohn,zoːn,Söhne,*,Familie
der,Bruder,ˈbʁuːdɐ,Brüder,*,Familie
das,Geschwister,ɡəˈʃvɪstɐ,Geschwister,*,Familie
der,Onkel,ˈɔŋkl̩,Onkel,*,Familie
der,Kommissar,kɔmɪˈsaːɐ̯,Kommissare,*,
die,Tante,ˈtantə,Tanten,*,Familie
der,Moment,moˈmɛnt,Momente,*,
der,Artikel,ˌaʁˈtiːkl̩,Artikel,*,
der,Verwandter,fɛɐ̯ˈvantɐ,Verwandte,*,Familie
die,Verwandte,fɛɐ̯ˈvantə,Verwandte,*,Familie
das,Ergebnis,ɛɐ̯ˈɡeːpnɪs,Ergebnisse,Ableitung.-nis,
die,Adresse,aˈdʁɛsə,Adressen,*,
der,Komponist,ˌkɔmpoˈnɪst,Komponisten,*,
die,Komponistin,ˌkɔmpoˈnɪstɪn,Komponistinnen,*,
der,Schirm,ʃɪʁm,Schirme,*,
der,Chef,ʃɛf,Chefs,*,Beruf
die,Chefin,ˈʃɛfɪn,Chefinnen,*,Beruf
der,Text,tɛkst,Texte,*,
das,Schauspiel,ˈʃaʊ̯ˌʃpiːl,Schauspiele,*,
der,Schauspieler,ˈʃaʊ̯ˌʃpiːlɐ,Schauspieler,*,Beruf
die,Schauspielerin,ˈʃaʊ̯ˌʃpiːləʁɪn,Schauspielerinnen,*,Beruf
das,Internet,ˈɪntɐnɛt,-,*,
die,Heimat,ˈhaɪ̯maːt,Heimaten,*,
das,Heimatland,ˈhaɪ̯maːtˌlant,Heimatländer,*,
die,Information,ɪnfɔʁmaˈt͡si̯oːn,Informationen,*,
die,Nummer,ˈnʊmɐ,Nummern,*,
die,Telefonnummer,teləˈfoːnˌnʊmɐ,Telefonnummern,*,
das,Zeichen,ˈt͡saɪ̯çn̩,Zeichen,de,
das,Kennzeichen,ˈkɛnˌt͡saɪ̯çn̩,Kennzeichen,*,
das,Autokennzeichen,ˈaʊ̯toˌkɛnt͡saɪ̯çn̩,Autokennzeichen,*,
die,Autonummer,ˈaʊ̯toˌnʊmɐ,Autonummern,*,
-,-,fɛɐ̯ˌʔaɪ̯nɪçtə ʔaˌʁaːbɪʃə ˌʔemiˈʁaːtə,Vereinigte Arabische Emirate,*,
das,Costa Rica,ˈkɔsta ˈʁiːka,-,*,Land
das,Bosnien und Herzegowina,ˈbɔsniən ʊnt ˌhɛʁt͡səˈɡɔvina,-,*,Land
die,Sängerin,ˈzɛŋəʁɪn,Sängerinnen,*,Beruf
der,Sänger,ˈzɛŋɐ,Sänger,*,Beruf
das,Lied,liːt,Lieder,*,
das,Chanson,ʃɑ̃ˈsɔ̃ː,Chansons,*,
der,Erfolg,ɛɐ̯ˈfɔlk,Erfolge,*,
das,Adjektiv,ˈatjɛktiːf,Adjektive,*,Linguistik
