Verb,IPA,regelmaßig,trennbar,ich.PS.I,du.PS.I,er/sie/es.PS.I,wir.PS.I,ihr.PS.I,sie/Sie.PS.I,ich.PS.K,du.PS.K,er/sie/es.PS.K,wir.PS.K,ihr.PS.K,sie/Sie.PS.K,ich.PT.I,du.PT.I,er/sie/es.PT.I,wir.PT.I,ihr.PT.I,sie/Sie.PT.I,ich.PT.K,du.PT.K,er/sie/es.PT.K,wir.PT.K,ihr.PT.K,sie/Sie.PT.K,Perfekt,Hilfsverb,Typs
studieren,ʃtuˈdiːʁən,True,TRENNBAR,studiere,studierst,studiert,studieren,studiert,studieren,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,studiert,haben,*
geben,ˈɡeːbn̩,False,TRENNBAR,gebe,g[i]bst,g[i]bt,geben,gebt,geben,ICH,DU,ERSIEES,WIR,IHR,SIE,gab,gabst,gab,gaben,gabt,gaben,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
liegen,ˈliːɡn̩,False,TRENNBAR,liege,liegst,liegt,liegen,liegt,liegen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
lieben,ˈliːbn̩,True,TRENNBAR,liebe,liebst,liebt,lieben,liebt,lieben,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
leben,ˈleːbn̩,True,TRENNBAR,lebe,lebst,lebt,leben,lebt,leben,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
vergleichen,fɛɐ̯ˈɡlaɪ̯çn̩,False,TRENNBAR,vergleiche,vergleichst,vergleicht,vergleichen,vergleicht,vergleichen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
kennen,ˈkɛnən,False,TRENNBAR,kenne,kennst,kennt,kennen,kennt,kennen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
nennen,ˈnɛnən,False,TRENNBAR,nenne,nennst,nennt,nennen,nennt,nennen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
trinken,ˈtʁɪŋkn̩,False,Not,trinke,trinkst,trinkt,trinken,trinkt,trinken,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,getr[u]nken,haben,de
essen,ˈɛsn̩,False,TRENNBAR,esse,[i]sst,[i]sst,essen,esst,essen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ge[g]essen,haben,de
bezahlen,bəˈt͡saːlən,True,TRENNBAR,bezahle,bezahlst,bezahlt,bezahlen,bezahlt,bezahlen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,bezahlt,haben,*
besuchen,bəˈzuːxn̩,True,TRENNBAR,besuche,besuchst,besucht,besuchen,besucht,besuchen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
reden,ˈʁeːdn̩,True,TRENNBAR,rederedest,redet,reden,redet,reden,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,*,PERFEKT,HILFSVERB
gehen,ˈɡeːən,False,Not,gehe,gehst,geht,gehen,geht,gehen,ICH,DU,ERSIEES,WIR,IHR,SIE,g[ing],g[ing]st,g[ing],g[ing]en,g[ing]t,g[ing]en,ICH,DU,ERSIEES,WIR,IHR,SIE,geg[ang]en,sein,de
übernachten,yːbɐˈnaxtn̩,True,False,übernachte,übernachtest,übernachtet,übernachten,übernachtet,übernachten,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,übernachtet,haben,Ableitung.über-
nehmen,ˈneːmən,False,Not,nehme,n[imm]st,n[imm]t,nehmen,nehmt,nehmen,ICH,DU,ERSIEES,WIR,IHR,SIE,n[a]hm,n[a]hmst,n[a]hm,n[a]hmen,n[a]hmt,n[a]hmen,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,de
brauchen,ˈbʁaʊ̯xn̩,True,TRENNBAR,brauche,brauchst,braucht,brauchen,braucht,brauchen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
mögen,ˈmøːɡn̩,False,Not,m[a]g,m[a]gst,m[a]g,mögen,mögt,mögen,ICH,DU,ERSIEES,WIR,IHR,SIE,mochte,mochtest,mochte,mochten,mochtet,mochten,möchte,möchtest,möchte,möchten,möchtet,möchten,PERFEKT,HILFSVERB,Modalverb.Infinitiv
